Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,No,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Agree,Disagree,Agree,Strongly Agree,31-50,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Strongly Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Yes,No
Agree,Disagree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,Yes
Disagree,Strongly Agree,Agree,Agree,Family,Strongly Disagree,Disagree,Strongly Disagree,Family,Disagree,Disagree,Disagree,Disagree,Agree,31-50,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,No,No
Strongly Agree,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Yes,No
Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,No,Yes
Agree,Disagree,Agree,Agree,Family,Agree,Agree,Strongly Disagree,Family,Agree,Disagree,Agree,Disagree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Strongly Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Agree,Agree,Family,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Agree,Agree,Agree,Strongly Agree,Family,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Yes,Yes
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Strongly Disagree,Disagree,Agree,Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Disagree,Disagree,Disagree,Disagree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Yes,No
Strongly Agree,Agree,Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Strongly Agree,Disagree,Agree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Yes,No
Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Agree,Disagree,Family,Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,No
Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Agree,Disagree,Family,Disagree,Disagree,Disagree,Strongly Agree,Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Strongly Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Disagree,Disagree,Disagree,31-50,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Strongly Agree,Strongly Agree,Agree,Strongly Agree,Family,Disagree,Agree,Agree,Family,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,31-50,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Family,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,51-70,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Agree,Strongly Agree,Strongly Agree,Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Strongly Disagree,31-50,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,No,Yes
Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Myself,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Yes,Yes
Agree,Disagree,Disagree,Agree,Myself,Agree,Strongly Agree,Strongly Agree,Socioeconomic ,Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Yes,No
Agree,Strongly Disagree,Strongly Agree,Agree,Myself,Agree,Disagree,Strongly Agree,Institution,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Yes,No
Agree,Agree,Agree,Agree,Myself,Strongly Agree,Agree,Agree,Family,Agree,Disagree,Agree,Disagree,Strongly Disagree,31-50,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Strongly Agree,Disagree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Yes,No
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Family,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Agree,Agree,Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Family,Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Strongly Agree,Strongly Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Yes,No
Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Disagree,Agree,Disagree,Strongly Disagree,Disagree,31-50,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,No,No
Disagree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Disagree,Agree,31-50,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,No,No
Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,31-50,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Yes,No
Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Yes,No
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Agree,Agree,Family,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,31-50,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Yes,Yes
Strongly Agree,Disagree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Disagree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Agree,Disagree,Family,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,31-50,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Agree,Agree,Disagree,Disagree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Disagree,Disagree,31-50,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,No,No
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Strongly Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Yes,No
Agree,Disagree,Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,No,Yes
Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,No
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Agree,Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Strongly Disagree,Family,Agree,Agree,Agree,Strongly Disagree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Yes,No
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,No,No
Agree,Disagree,Agree,Agree,Myself,Disagree,Disagree,Strongly Agree,Family,Agree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Yes,No
Agree,Disagree,Agree,Strongly Agree,Myself,Agree,Agree,Strongly Agree,Family,Agree,Agree,Disagree,Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Yes,No
Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,No,No
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes,No
Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,31-50,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,No,Yes
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Disagree,Strongly Disagree,Family,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,No,Yes
Agree,Agree,Strongly Agree,Agree,Myself,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Disagree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Strongly Disagree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Yes,No
Agree,Disagree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,No
Agree,Disagree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,No
Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,Yes
Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Disagree,Disagree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Agree,Disagree,Agree,Disagree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Teachers,Disagree,Disagree,Disagree,Disagree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Strongly Agree,Agree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Yes,No
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Disagree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Disagree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Disagree,Strongly Disagree,Family,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,51-70,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,No,Yes
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Disagree,Agree,Family,Agree,Disagree,Agree,Disagree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Agree,Strongly Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Agree,Strongly Disagree,Agree,Strongly Agree,Family,Agree,Agree,Disagree,Family,Disagree,Agree,Agree,Disagree,Agree,31-50,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,No,No
Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Yes,No
